numero_catalogo,titulo,ano,denominacao,moeda,descricao_tematica,descricao_tecnica,dentado,tiragem,temas
ES-2012-4698,Fauna Ibérica — Lince,2012,0.65,EUR,O lince ibérico (Lynx pardinus) em habitat natural. Espécie em recuperação graças a programas de conservação.,Offset 4 cores. Formato 40×30mm.,13½,1000000,Fauna
ES-2012-4699,Fauna Ibérica — Águia Imperial,2012,0.65,EUR,A águia imperial ibérica (Aquila adalberti) em voo. Ave símbolo de Espanha.,Offset 4 cores. Formato 40×30mm.,13½,1000000,Fauna
ES-2012-4700,Arquitectura Modernista — Casa Batlló,2012,0.36,EUR,Casa Batlló de Antoni Gaudí em Barcelona. Património da Humanidade UNESCO.,Calcografia. Formato 28×40mm.,13¾,800000,Arte;Arquitectura
ES-2012-4701,Arquitectura Modernista — Sagrada Família,2012,0.80,EUR,Basílica da Sagrada Família de Gaudí em Barcelona. Em construção desde 1882.,Calcografia. Formato 28×40mm.,13¾,800000,Arte;Arquitectura
ES-2012-4702,Personagens — Miguel de Cervantes,2012,0.36,EUR,"Miguel de Cervantes (1547–1616), autor de Dom Quixote. Pai da literatura espanhola moderna.",Calcografia a 2 cores. Formato 25×38mm.,13½,600000,Personagens;História
ES-2012-4703,Flora Española — Narciso,2012,0.36,EUR,Narciso espanhol (Narcissus hispanicus). Flor selvagem endémica da Península Ibérica.,Offset 5 cores. Formato 38×27mm.,14,750000,Flora
ES-2012-4704,Flora Española — Açafrão,2012,0.80,EUR,Açafrão (Crocus sativus). Espécie cultivada em Castela-La Mancha. A especiaria mais cara do mundo.,Offset 5 cores. Formato 38×27mm.,14,750000,Flora
ES-2012-4705,Desportos — Real Madrid 110 Anos,2012,0.65,EUR,Centenário do Real Madrid Club de Fútbol. Estádio Santiago Bernabéu.,Offset 4 cores. Formato 44×33mm.,13½,2000000,Desporto
ES-2012-4706,Transportes — AVE Alta Velocidade,2012,0.36,EUR,Comboio de alta velocidade AVE série 103 em circulação na linha Madrid–Barcelona.,Offset 4 cores. Formato 44×28mm.,13¾,900000,Transportes
ES-2012-4707,História — Descobrimentos,2012,0.80,EUR,500 anos das viagens de exploração espanholas. Caravela e globo terrestre.,Calcografia + Offset. Formato 38×38mm.,13½,500000,História
